instance_name,instance_size,solver,replication,total_distance,total_time,feasible_solution
cvrp-0-df-106,986,ortools,1,1630.3531,302.4101071940386,True
cvrp-0-df-106,986,lkh-3,1,1588.5991,123.93144414201379,True
cvrp-0-df-90,986,ortools,1,1546.5382,301.8541606479557,True
cvrp-0-df-90,986,lkh-3,1,1522.0406,112.44560102297692,True
cvrp-0-df-99,815,ortools,1,1369.4262,301.34034474397777,True
cvrp-0-df-99,815,lkh-3,1,1308.3359,39.34943457698682,True
cvrp-0-df-113,900,ortools,1,1431.3462,301.5612515709945,True
cvrp-0-df-113,900,lkh-3,1,1383.1346,87.75584871205501,True
cvrp-0-df-111,979,ortools,1,1608.9836,301.76218183600577,True
cvrp-0-df-111,979,lkh-3,1,1534.3626,61.104284148023,True
cvrp-0-df-100,1085,ortools,1,1809.5443,302.944476425997,True
cvrp-0-df-100,1085,lkh-3,1,1685.0089,130.17701966298046,True
cvrp-0-df-108,1002,ortools,1,1623.7833,304.5459486229811,True
cvrp-0-df-108,1002,lkh-3,1,1585.9212,68.27660328202182,True
cvrp-0-df-118,903,ortools,1,1495.6082,301.556740703003,True
cvrp-0-df-118,903,lkh-3,1,1444.3857,59.900014572020154,True
cvrp-0-df-110,1158,ortools,1,1820.0534,302.5152685160283,True
cvrp-0-df-110,1158,lkh-3,1,1729.8496,130.03189799998654,True
cvrp-0-df-96,995,ortools,1,1613.3248,305.0988692389801,True
cvrp-0-df-96,995,lkh-3,1,1539.3237,103.14440130698495,True
cvrp-0-df-103,1153,ortools,1,1734.5997,302.8227051149588,True
cvrp-0-df-103,1153,lkh-3,1,1701.6644,147.5728733559954,True
cvrp-0-df-104,938,ortools,1,1529.4532,304.5150851609651,True
cvrp-0-df-104,938,lkh-3,1,1456.7407,77.94152833998669,True
cvrp-0-df-98,788,ortools,1,1457.617,301.42016467504436,True
cvrp-0-df-98,788,lkh-3,1,1300.5753,43.375499325979035,True
cvrp-0-df-114,1041,ortools,1,1763.1063,302.0009817319806,True
cvrp-0-df-114,1041,lkh-3,1,1665.5365,83.1475487560383,True
cvrp-0-df-97,834,ortools,1,1401.5,301.35596420703223,True
cvrp-0-df-97,834,lkh-3,1,1338.9126,49.34864673699485,True
cvrp-0-df-119,841,ortools,1,1411.8564,301.43340254895156,True
cvrp-0-df-119,841,lkh-3,1,1369.9193,52.62403473898303,True
cvrp-0-df-102,1030,ortools,1,1664.7573,302.0243624729919,True
cvrp-0-df-102,1030,lkh-3,1,1540.9336,89.79745856701629,True
cvrp-0-df-101,995,ortools,1,1561.9945,301.88515903195366,True
cvrp-0-df-101,995,lkh-3,1,1457.498,99.20090141397668,True
cvrp-0-df-117,778,ortools,1,1379.4918,301.2267441730364,True
cvrp-0-df-117,778,lkh-3,1,1299.4831,53.91919299599249,True
cvrp-0-df-112,954,ortools,1,1621.4776,301.77525545301614,True
cvrp-0-df-112,954,lkh-3,1,1550.9268,84.85580495098839,True
cvrp-0-df-93,779,ortools,1,1253.9645,301.21697974501876,True
cvrp-0-df-93,779,lkh-3,1,1142.9578,45.93782327399822,True
cvrp-0-df-94,851,ortools,1,1557.184,301.6163725500228,True
cvrp-0-df-94,851,lkh-3,1,1517.4064,201.38103173399577,True
cvrp-0-df-95,998,ortools,1,1692.946,304.1900647029979,True
cvrp-0-df-95,998,lkh-3,1,1621.5001,66.3987826060038,True
cvrp-0-df-107,1102,ortools,1,1719.0213,302.5084490200388,True
cvrp-0-df-107,1102,lkh-3,1,1833.6731,309.0420893600094,True
cvrp-0-df-92,871,ortools,1,1460.038,301.6796843500342,True
cvrp-0-df-92,871,lkh-3,1,1386.339,55.36457240197342,True
cvrp-0-df-91,793,ortools,1,1392.2196,302.2495521850069,True
cvrp-0-df-91,793,lkh-3,1,1278.2679,42.945299671031535,True
cvrp-0-df-115,973,ortools,1,1553.5591,302.09801112895366,True
cvrp-0-df-115,973,lkh-3,1,1562.0142,78.25575282203499,True
cvrp-0-df-116,915,ortools,1,1528.2803,303.60790011199424,True
cvrp-0-df-116,915,lkh-3,1,1421.6181,59.729886054003146,True
cvrp-0-df-109,1033,ortools,1,1655.5446,301.9079852090217,True
cvrp-0-df-109,1033,lkh-3,1,1631.5537,106.48772738000844,True
cvrp-0-df-105,779,ortools,1,1417.1755,301.61147721798625,True
cvrp-0-df-105,779,lkh-3,1,1337.7968,50.96941775403684,True
cvrp-2-df-108,4199,ortools,1,-1.0,327.6850098139839,False
cvrp-2-df-108,4199,lkh-3,1,7346.5824,447.8181591439643,True
cvrp-2-df-91,3437,ortools,1,-1.0,318.02425043901894,False
cvrp-2-df-91,3437,lkh-3,1,6902.8451,415.1804683950031,True
cvrp-2-df-96,4313,ortools,1,-1.0,328.31517187604913,False
cvrp-2-df-96,4313,lkh-3,1,8778.3299,678.0320182799478,True
cvrp-2-df-90,4265,ortools,1,-1.0,327.96827444800874,False
cvrp-2-df-90,4265,lkh-3,1,7805.4097,448.16527462599333,True
cvrp-2-df-95,4481,ortools,1,-1.0,330.1149012679816,False
cvrp-2-df-95,4481,lkh-3,1,8836.7885,745.7522281219717,True
cvrp-2-df-102,4724,ortools,1,-1.0,333.1881139340112,False
cvrp-2-df-102,4724,lkh-3,1,10288.4092,829.369594104006,True
cvrp-2-df-109,4429,ortools,1,-1.0,329.4690921099973,False
cvrp-2-df-109,4429,lkh-3,1,10093.57,746.4461721410044,True
cvrp-2-df-99,3385,ortools,1,-1.0,317.4981277709594,False
cvrp-2-df-99,3385,lkh-3,1,5087.5887,412.18369507201714,True
cvrp-2-df-114,4792,ortools,1,-1.0,333.75153814599616,False
cvrp-2-df-114,4792,lkh-3,1,9424.5286,661.9635873559746,True
cvrp-2-df-94,3907,ortools,1,-1.0,322.84814691200154,False
cvrp-2-df-94,3907,lkh-3,1,-1.0,584.5284610369708,False
cvrp-2-df-92,3868,ortools,1,-1.0,322.44954143004725,False
cvrp-2-df-92,3868,lkh-3,1,8658.6342,535.1345886999625,True
cvrp-2-df-103,5007,ortools,1,-1.0,336.7910904379678,False
cvrp-2-df-103,5007,lkh-3,1,10730.7424,582.8223335330258,True
cvrp-2-df-97,3628,ortools,1,-1.0,319.21165429003304,False
cvrp-2-df-97,3628,lkh-3,1,8496.3914,460.6914975029649,True
cvrp-2-df-116,3807,ortools,1,-1.0,321.72449888201663,False
cvrp-2-df-116,3807,lkh-3,1,6379.9466,420.8075217839796,True
cvrp-2-df-118,3898,ortools,1,-1.0,322.5609590189997,False
cvrp-2-df-118,3898,lkh-3,1,8856.5705,434.88284521200694,True
cvrp-2-df-107,5020,ortools,1,-1.0,336.85997193696676,False
cvrp-2-df-107,5020,lkh-3,1,11049.1237,1068.294174196024,True
cvrp-2-df-110,4918,ortools,1,-1.0,335.1896487759659,False
cvrp-2-df-110,4918,lkh-3,1,11791.6331,1130.828147305001,True
cvrp-2-df-111,4633,ortools,1,5105.624,331.99268421396846,True
cvrp-2-df-111,4633,lkh-3,1,10210.9241,814.6996978949755,True
cvrp-2-df-104,3891,ortools,1,4237.0737,322.5539712989703,True
cvrp-2-df-104,3891,lkh-3,1,8051.4172,442.9419201010023,True
cvrp-2-df-105,3417,ortools,1,-1.0,317.7099011410028,False
cvrp-2-df-105,3417,lkh-3,1,6957.4467,410.6929426539573,True
cvrp-2-df-101,4370,ortools,1,-1.0,328.53194787097163,False
cvrp-2-df-101,4370,lkh-3,1,6271.7386,463.78792776400223,True
cvrp-2-df-100,4723,ortools,1,-1.0,332.9727506089839,False
cvrp-2-df-100,4723,lkh-3,1,8649.614,516.4643861179939,True
cvrp-2-df-117,3283,ortools,1,-1.0,315.9663828110206,False
cvrp-2-df-117,3283,lkh-3,1,13810.6771,358.9886200740002,True
cvrp-2-df-106,4385,ortools,1,-1.0,328.6505110670114,False
cvrp-2-df-106,4385,lkh-3,1,9439.4487,653.1001149640069,True
cvrp-2-df-112,4041,ortools,1,-1.0,324.423167726025,False
