instance_name,instance_size,solver,replication,total_distance,total_time,num_vehicles,feasible_solution
cvrp-1-pa-104,4386,ortools,1,,,-2,-2
cvrp-1-pa-104,4386,lkh-3,1,,,-2,-2
cvrp-1-pa-102,4451,ortools,1,,,-2,-2
cvrp-1-pa-102,4451,lkh-3,1,,,-2,-2
cvrp-1-pa-109,3985,ortools,1,,,-2,-2
cvrp-1-pa-109,3985,lkh-3,1,,,-2,-2
cvrp-1-pa-106,4482,ortools,1,,,-2,-2
cvrp-1-pa-106,4482,lkh-3,1,,,-2,-2
cvrp-1-pa-94,3616,ortools,1,,,-2,-2
cvrp-1-pa-94,3616,lkh-3,1,,,-2,-2
cvrp-1-pa-90,4165,ortools,1,,,-2,-2
cvrp-1-pa-90,4165,lkh-3,1,,,-2,-2
cvrp-1-pa-97,4294,ortools,1,,,-2,-2
cvrp-1-pa-97,4294,lkh-3,1,,,-2,-2
cvrp-1-pa-91,3903,ortools,1,,,-2,-2
cvrp-1-pa-91,3903,lkh-3,1,,,-2,-2
cvrp-1-pa-100,4228,ortools,1,,,-2,-2
cvrp-1-pa-100,4228,lkh-3,1,,,-2,-2
cvrp-1-pa-101,4119,ortools,1,,,-2,-2
cvrp-1-pa-101,4119,lkh-3,1,,,-2,-2
cvrp-1-pa-99,4386,ortools,1,,,-2,-2
cvrp-1-pa-99,4386,lkh-3,1,,,-2,-2
cvrp-1-pa-115,4831,ortools,1,,,-2,-2
cvrp-1-pa-115,4831,lkh-3,1,,,-2,-2
cvrp-1-pa-119,4381,ortools,1,,,-2,-2
cvrp-1-pa-119,4381,lkh-3,1,,,-2,-2
cvrp-1-pa-98,3876,ortools,1,,,-2,-2
cvrp-1-pa-98,3876,lkh-3,1,,,-2,-2
cvrp-1-pa-92,3378,ortools,1,,,-2,-2
cvrp-1-pa-92,3378,lkh-3,1,,,-2,-2
cvrp-1-pa-112,5090,ortools,1,,,-2,-2
cvrp-1-pa-112,5090,lkh-3,1,,,-2,-2
cvrp-1-pa-93,3516,ortools,1,,,-2,-2
cvrp-1-pa-93,3516,lkh-3,1,,,-2,-2
cvrp-1-pa-111,3662,ortools,1,,,-2,-2
cvrp-1-pa-111,3662,lkh-3,1,,,-2,-2
cvrp-1-pa-117,4900,ortools,1,,,-2,-2
cvrp-1-pa-117,4900,lkh-3,1,,,-2,-2
cvrp-1-pa-103,5108,ortools,1,,,-2,-2
cvrp-1-pa-103,5108,lkh-3,1,,,-2,-2
cvrp-1-pa-108,4049,ortools,1,,,-2,-2
cvrp-1-pa-108,4049,lkh-3,1,,,-2,-2
cvrp-1-pa-113,3831,ortools,1,,,-2,-2
cvrp-1-pa-113,3831,lkh-3,1,,,-2,-2
cvrp-1-pa-95,4010,ortools,1,,,-2,-2
cvrp-1-pa-95,4010,lkh-3,1,,,-2,-2
cvrp-1-pa-107,4230,ortools,1,,,-2,-2
cvrp-1-pa-107,4230,lkh-3,1,,,-2,-2
cvrp-1-pa-96,4217,ortools,1,,,-2,-2
cvrp-1-pa-96,4217,lkh-3,1,,,-2,-2
cvrp-1-pa-116,3500,ortools,1,,,-2,-2
cvrp-1-pa-116,3500,lkh-3,1,,,-2,-2
cvrp-1-pa-105,4905,ortools,1,,,-2,-2
cvrp-1-pa-105,4905,lkh-3,1,,,-2,-2
cvrp-1-pa-114,4565,ortools,1,,,-2,-2
cvrp-1-pa-114,4565,lkh-3,1,,,-2,-2
cvrp-1-pa-118,4705,ortools,1,,,-2,-2
cvrp-1-pa-118,4705,lkh-3,1,,,-2,-2
cvrp-1-pa-110,4185,ortools,1,,,-2,-2
cvrp-1-pa-110,4185,lkh-3,1,,,-2,-2
cvrp-4-rj-99,6306,ortools,1,-1.0,674.6760541939875,-1,False
cvrp-4-rj-99,6306,lkh-3,1,7690.8874,2314.5110574730206,195,True
cvrp-4-rj-113,6319,ortools,1,-1.0,682.5733939269558,-1,False
cvrp-4-rj-113,6319,lkh-3,1,7894.8864,2381.6104517569765,197,True
