instance_name,instance_size,solver,replication,total_distance,total_time,feasible_solution
cvrp-0-pa-59,314,ortools,1,675.3362,300.75704671099083,True
cvrp-0-pa-59,314,lkh-3,1,636.451,6.858793777006213,True
cvrp-0-pa-42,285,ortools,1,601.8241,300.6053051259951,True
cvrp-0-pa-42,285,lkh-3,1,559.5316,6.640373172995169,True
cvrp-0-pa-64,242,ortools,1,530.285,301.2792928909912,True
cvrp-0-pa-64,242,lkh-3,1,509.9558,4.070897117999266,True
cvrp-0-pa-49,305,ortools,1,652.6537,301.5801653560047,True
cvrp-0-pa-49,305,lkh-3,1,616.7294,6.738043596007628,True
cvrp-0-pa-8,302,ortools,1,635.8052,301.2877541080088,True
cvrp-0-pa-8,302,lkh-3,1,587.8525,8.037304667013814,True
cvrp-0-pa-50,266,ortools,1,537.3577,300.7394685229956,True
cvrp-0-pa-50,266,lkh-3,1,533.9959,5.2562371759995585,True
cvrp-0-pa-76,308,ortools,1,641.7524,300.9232891319989,True
cvrp-0-pa-76,308,lkh-3,1,654.6479,14.817922355010523,True
cvrp-0-pa-84,263,ortools,1,576.5144,300.95469309900363,True
cvrp-0-pa-84,263,lkh-3,1,571.2772,5.998978048999561,True
cvrp-0-pa-1,268,ortools,1,663.8018,302.9361609359912,True
cvrp-0-pa-1,268,lkh-3,1,634.8042,5.7184975359996315,True
cvrp-0-pa-12,334,ortools,1,603.7032,300.9244114530011,True
cvrp-0-pa-12,334,lkh-3,1,639.4829,25.98280736200104,True
cvrp-0-pa-41,302,ortools,1,589.1895,300.7918175340019,True
cvrp-0-pa-41,302,lkh-3,1,562.0967,7.4071436319936765,True
cvrp-0-pa-58,346,ortools,1,688.1823,302.89977296099823,True
cvrp-0-pa-58,346,lkh-3,1,642.181,8.758448167995084,True
cvrp-0-pa-13,283,ortools,1,574.5225,300.8447422439931,True
cvrp-0-pa-13,283,lkh-3,1,517.1018,6.193446286997641,True
cvrp-0-pa-78,305,ortools,1,669.1696,300.6500362109946,True
cvrp-0-pa-78,305,lkh-3,1,646.8675,6.689630432010745,True
cvrp-0-pa-53,271,ortools,1,585.4051,300.63976010199985,True
cvrp-0-pa-53,271,lkh-3,1,531.8122,4.971121252994635,True
cvrp-0-pa-29,224,ortools,1,484.5232,300.5125955909898,True
cvrp-0-pa-29,224,lkh-3,1,478.6562,5.63077529000293,True
cvrp-0-pa-17,337,ortools,1,644.2148,300.9117380940006,True
cvrp-0-pa-17,337,lkh-3,1,611.9426,8.815362440000172,True
cvrp-0-pa-63,237,ortools,1,631.8501,300.5450942960015,True
cvrp-0-pa-63,237,lkh-3,1,611.5534,5.768283419005456,True
cvrp-0-pa-71,272,ortools,1,757.2887,301.01840765700035,True
cvrp-0-pa-71,272,lkh-3,1,703.2101,4.800308378995396,True
cvrp-0-pa-16,243,ortools,1,608.6148,300.5205594209983,True
cvrp-0-pa-16,243,lkh-3,1,566.7875,4.333550136987469,True
cvrp-0-pa-26,348,ortools,1,774.7789,300.8667565929936,True
cvrp-0-pa-26,348,lkh-3,1,715.4454,7.8695381870056735,True
cvrp-0-pa-23,256,ortools,1,637.9841,300.9199265339994,True
cvrp-0-pa-23,256,lkh-3,1,613.0431,9.181421569999657,True
cvrp-0-pa-21,279,ortools,1,726.4689,300.6262770450121,True
cvrp-0-pa-21,279,lkh-3,1,694.2931,7.211239490992739,True
cvrp-0-pa-28,278,ortools,1,621.6705,301.61118291200546,True
cvrp-0-pa-28,278,lkh-3,1,599.4194,6.9243306379939895,True
cvrp-0-pa-43,298,ortools,1,595.8225,301.732834274997,True
cvrp-0-pa-43,298,lkh-3,1,566.0479,7.180473971995525,True
cvrp-0-pa-20,332,ortools,1,674.3809,300.8829722030059,True
cvrp-0-pa-20,332,lkh-3,1,644.0005,9.192161349012167,True
cvrp-0-pa-44,300,ortools,1,800.4485,300.86570467999263,True
cvrp-0-pa-44,300,lkh-3,1,756.2397,9.294244432006963,True
cvrp-0-pa-52,276,ortools,1,538.3156,300.6152136199962,True
cvrp-0-pa-52,276,lkh-3,1,545.0054,15.841730012005428,True
cvrp-0-pa-38,298,ortools,1,625.9018,300.6475098350056,True
cvrp-0-pa-38,298,lkh-3,1,592.9512,7.141921607006225,True
cvrp-0-pa-11,318,ortools,1,604.1681,300.6942411110067,True
cvrp-0-pa-11,318,lkh-3,1,596.5041,8.656065572999069,True
cvrp-0-pa-81,341,ortools,1,740.0269,300.9311883400078,True
cvrp-0-pa-81,341,lkh-3,1,709.8049,8.7097219809948,True
cvrp-0-pa-31,253,ortools,1,709.1895,300.4888090729946,True
cvrp-0-pa-31,253,lkh-3,1,673.4924,6.765633021001122,True
cvrp-0-pa-9,337,ortools,1,729.5956,300.74583240000356,True
cvrp-0-pa-9,337,lkh-3,1,686.0317,9.581266100009088,True
cvrp-0-pa-19,289,ortools,1,614.0514,300.7003015859955,True
cvrp-0-pa-19,289,lkh-3,1,583.6591,7.462797405998572,True
cvrp-0-pa-5,307,ortools,1,639.3651,301.1576649790077,True
cvrp-0-pa-5,307,lkh-3,1,616.1309,6.389543005992891,True
cvrp-0-pa-86,235,ortools,1,464.5892,300.4825159070024,True
cvrp-0-pa-86,235,lkh-3,1,451.7516,4.690005274998839,True
cvrp-0-pa-56,239,ortools,1,519.6299,300.4315538320079,True
cvrp-0-pa-56,239,lkh-3,1,504.5604,4.818807878007647,True
cvrp-0-pa-66,333,ortools,1,556.7944,300.8760771879897,True
cvrp-0-pa-66,333,lkh-3,1,571.0312,11.760095525998622,True
cvrp-0-pa-73,299,ortools,1,729.168,300.59793465799885,True
cvrp-0-pa-73,299,lkh-3,1,670.5319,11.259189183998387,True
cvrp-0-pa-25,274,ortools,1,659.9605,300.6496991879976,True
cvrp-0-pa-25,274,lkh-3,1,640.8913,5.2427441850013565,True
cvrp-0-pa-4,280,ortools,1,525.0982,300.62385993800126,True
cvrp-0-pa-4,280,lkh-3,1,531.6878,10.128281954996055,True
cvrp-0-pa-80,259,ortools,1,600.9228,300.58674881700426,True
cvrp-0-pa-80,259,lkh-3,1,561.7719,5.28560259299411,True
cvrp-0-pa-37,252,ortools,1,593.505,300.55269897299877,True
cvrp-0-pa-37,252,lkh-3,1,577.3202,4.9904380990046775,True
cvrp-0-pa-0,279,ortools,1,606.2914,300.7121656570089,True
cvrp-0-pa-0,279,lkh-3,1,534.5895,6.548460195001098,True
cvrp-0-pa-85,292,ortools,1,753.2686,300.5773380199971,True
cvrp-0-pa-85,292,lkh-3,1,722.2293,16.91015196799708,True
cvrp-0-pa-55,240,ortools,1,433.9692,300.47193406500446,True
cvrp-0-pa-55,240,lkh-3,1,423.034,4.02958991000196,True
cvrp-0-pa-35,358,ortools,1,708.7151,300.929203245003,True
cvrp-0-pa-35,358,lkh-3,1,667.7857,12.835465056996327,True
cvrp-0-pa-27,294,ortools,1,617.0302,300.66371311899275,True
cvrp-0-pa-27,294,lkh-3,1,602.0282,6.53608069200709,True
cvrp-0-pa-67,318,ortools,1,698.634,300.7978420500003,True
cvrp-0-pa-67,318,lkh-3,1,668.6391,7.554555679002078,True
cvrp-0-pa-61,211,ortools,1,452.5783,300.3997007019934,True
cvrp-0-pa-61,211,lkh-3,1,437.1206,6.212171153005329,True
cvrp-0-pa-72,336,ortools,1,624.3903,300.7143243870087,True
cvrp-0-pa-72,336,lkh-3,1,596.5483,13.504176253991318,True
cvrp-0-pa-15,318,ortools,1,912.0452,300.6627860580047,True
cvrp-0-pa-15,318,lkh-3,1,897.5435,8.874905600998318,True
cvrp-0-pa-74,364,ortools,1,752.3766,300.9360575410101,True
cvrp-0-pa-74,364,lkh-3,1,662.493,17.049001659004716,True
cvrp-0-pa-22,221,ortools,1,416.2844,300.88027044299815,True
cvrp-0-pa-22,221,lkh-3,1,405.719,3.6992809530056547,True
cvrp-0-pa-83,297,ortools,1,572.7714,301.89335861800646,True
cvrp-0-pa-83,297,lkh-3,1,560.4526,16.583041517005768,True
cvrp-0-pa-46,240,ortools,1,547.5677,300.5552541030047,True
cvrp-0-pa-46,240,lkh-3,1,549.1815,4.49763356600306,True
cvrp-0-pa-68,296,ortools,1,678.3769,300.66586289599945,True
cvrp-0-pa-68,296,lkh-3,1,671.2951,6.198516318007023,True
cvrp-0-pa-79,234,ortools,1,479.8095,300.4397513120057,True
cvrp-0-pa-79,234,lkh-3,1,460.7551,4.3698867929924745,True
cvrp-0-pa-70,242,ortools,1,524.4638,301.1346676989924,True
cvrp-0-pa-70,242,lkh-3,1,508.1479,4.334863834999851,True
cvrp-0-pa-51,266,ortools,1,537.6728,300.5612745210092,True
cvrp-0-pa-51,266,lkh-3,1,536.202,4.791407803000766,True
cvrp-0-pa-6,332,ortools,1,687.0549,302.3273214709916,True
cvrp-0-pa-6,332,lkh-3,1,659.8633,9.94030866099638,True
cvrp-0-pa-87,248,ortools,1,489.7984,300.74226927199925,True
cvrp-0-pa-87,248,lkh-3,1,476.8434,4.8828952210024,True
cvrp-0-pa-3,307,ortools,1,556.0417,300.71747474699805,True
cvrp-0-pa-3,307,lkh-3,1,529.0328,8.648918746010168,True
cvrp-0-pa-69,252,ortools,1,572.1969,300.4768437830062,True
cvrp-0-pa-69,252,lkh-3,1,542.5188,6.341174953995505,True
cvrp-0-pa-82,295,ortools,1,651.1052,300.6118086409988,True
cvrp-0-pa-82,295,lkh-3,1,618.5628,6.707669230003376,True
cvrp-0-pa-65,275,ortools,1,614.2713,300.9721949789964,True
cvrp-0-pa-65,275,lkh-3,1,552.8446,5.850594581992482,True
cvrp-0-pa-33,284,ortools,1,638.126,301.5493515239941,True
cvrp-0-pa-33,284,lkh-3,1,631.5435,6.3596090439968975,True
cvrp-0-pa-57,255,ortools,1,526.153,300.5029522230034,True
cvrp-0-pa-57,255,lkh-3,1,508.1972,5.170136358996388,True
cvrp-0-pa-45,298,ortools,1,703.0495,301.80476718599675,True
cvrp-0-pa-45,298,lkh-3,1,673.9387,7.571867264006869,True
cvrp-0-pa-34,356,ortools,1,691.2568,301.16779224599304,True
cvrp-0-pa-34,356,lkh-3,1,656.454,12.405957565002609,True
cvrp-0-pa-47,332,ortools,1,686.2803,300.7916309440043,True
cvrp-0-pa-47,332,lkh-3,1,652.1376,7.087971875997027,True
cvrp-0-pa-77,234,ortools,1,525.3749,300.44454287699773,True
cvrp-0-pa-77,234,lkh-3,1,498.6294,4.483653100003721,True
cvrp-0-pa-88,288,ortools,1,564.3484,300.57471415599866,True
cvrp-0-pa-88,288,lkh-3,1,527.5915,6.115075078007067,True
cvrp-0-pa-60,304,ortools,1,590.454,300.613995214997,True
cvrp-0-pa-60,304,lkh-3,1,557.3574,7.837123799996334,True
cvrp-0-pa-30,293,ortools,1,661.0524,300.59180635999655,True
cvrp-0-pa-30,293,lkh-3,1,616.5564,12.591461271003936,True
cvrp-0-pa-75,268,ortools,1,556.7777,300.5343366140005,True
cvrp-0-pa-75,268,lkh-3,1,546.2018,5.302751880008145,True
cvrp-0-pa-40,307,ortools,1,634.9926,300.7101512289955,True
cvrp-0-pa-40,307,lkh-3,1,601.9394,7.991342478999286,True
cvrp-0-pa-36,330,ortools,1,660.7787,301.0955372659955,True
cvrp-0-pa-36,330,lkh-3,1,640.162,7.887806452999939,True
cvrp-0-pa-48,336,ortools,1,620.952,300.7175347339944,True
cvrp-0-pa-48,336,lkh-3,1,587.9486,8.685107857992989,True
cvrp-0-pa-2,324,ortools,1,664.2366,300.7251993300015,True
cvrp-0-pa-2,324,lkh-3,1,620.0772,8.884134913998423,True
cvrp-0-pa-32,300,ortools,1,597.8284,300.64360333299555,True
cvrp-0-pa-32,300,lkh-3,1,613.6399,12.613001755002188,True
cvrp-0-pa-54,248,ortools,1,513.1269,300.5262393489975,True
cvrp-0-pa-54,248,lkh-3,1,487.773,5.019135606009513,True
cvrp-0-pa-89,358,ortools,1,744.1993,300.84136014198884,True
cvrp-0-pa-89,358,lkh-3,1,706.7468,10.969511209987104,True
cvrp-0-pa-24,331,ortools,1,673.738,300.7132922079909,True
cvrp-0-pa-24,331,lkh-3,1,655.1319,8.715453251003055,True
cvrp-0-pa-14,277,ortools,1,553.6497,300.5311469070002,True
cvrp-0-pa-14,277,lkh-3,1,540.7623,6.292003403999843,True
cvrp-0-pa-62,294,ortools,1,629.3016,300.9356666859967,True
cvrp-0-pa-62,294,lkh-3,1,593.5083,6.573460116007482,True
cvrp-0-pa-39,240,ortools,1,480.965,301.0921393019962,True
cvrp-0-pa-39,240,lkh-3,1,469.7117,4.3476253879925935,True
cvrp-0-pa-10,249,ortools,1,496.27,300.5395420279965,True
cvrp-0-pa-10,249,lkh-3,1,470.0647,5.183240408994607,True
cvrp-0-pa-7,317,ortools,1,640.8079,300.66579292599636,True
cvrp-0-pa-7,317,lkh-3,1,584.3705,13.582270658007474,True
cvrp-0-pa-18,241,ortools,1,693.3737,300.44459839099727,True
cvrp-0-pa-18,241,lkh-3,1,687.1598,4.038447432991234,True
cvrp-0-rj-58,4144,ortools,1,-1.0,823.2891275999864,False
