instance_name,instance_size,solver,replication,total_distance,total_time,num_vehicles,feasible_solution
cvrp-3-rj-90,5858,ortools,1,-1.0,570.6439123529999,-1,False
cvrp-3-rj-90,5858,lkh-3,1,2336.4602,963.7665864830051,197,True
cvrp-3-rj-102,5185,ortools,1,-1.0,454.0786959570032,-1,False
cvrp-3-rj-102,5185,lkh-3,1,3964.0761,2231.267667278,159,True
cvrp-3-rj-109,5462,ortools,1,-1.0,504.5712368780005,-1,False
cvrp-3-rj-109,5462,lkh-3,1,3789.0654,3159.728002799995,171,True
cvrp-3-rj-105,6557,ortools,1,-1.0,723.5187707430014,-1,False
cvrp-3-rj-105,6557,lkh-3,1,4978.664,4088.1069125440044,204,True
cvrp-3-rj-97,4984,ortools,1,-1.0,423.5478432059899,-1,False
cvrp-3-rj-97,4984,lkh-3,1,3594.2785,1790.2737281630107,153,True
cvrp-3-rj-96,5886,ortools,1,-1.0,582.2113146999909,-1,False
cvrp-3-rj-96,5886,lkh-3,1,4458.4404,2354.0679054399952,181,True
cvrp-3-rj-112,5768,ortools,1,-1.0,557.1017790100013,-1,False
cvrp-3-rj-112,5768,lkh-3,1,4127.4387,1716.2511056540097,178,True
cvrp-3-rj-110,5087,ortools,1,-1.0,434.00649436299864,-1,False
cvrp-3-rj-110,5087,lkh-3,1,3760.2525,1687.3360499239934,157,True
cvrp-3-rj-117,6360,ortools,1,-1.0,678.1708053320035,-1,False
cvrp-3-rj-117,6360,lkh-3,1,2945.3068,1098.1743317819928,218,True
cvrp-3-rj-113,6512,ortools,1,-1.0,717.429558015996,-1,False
cvrp-3-rj-113,6512,lkh-3,1,4533.8198,3306.214462306001,202,True
cvrp-3-rj-92,6085,ortools,1,-1.0,624.4906636390078,-1,False
cvrp-3-rj-92,6085,lkh-3,1,3823.032,2217.811301249996,188,True
cvrp-3-rj-98,6105,ortools,1,-1.0,630.4808394149877,-1,False
cvrp-3-rj-98,6105,lkh-3,1,2498.5396,1102.9512806949933,207,True
cvrp-3-rj-107,5269,ortools,1,-1.0,467.595743095997,-1,False
cvrp-3-rj-107,5269,lkh-3,1,3628.678,2475.904030263002,167,True
cvrp-3-rj-99,6397,ortools,1,-1.0,689.5539003839949,-1,False
cvrp-3-rj-99,6397,lkh-3,1,4569.9484,4477.406998918988,198,True
cvrp-3-rj-91,5924,ortools,1,-1.0,592.0674638830096,-1,False
cvrp-3-rj-91,5924,lkh-3,1,4031.6508,2404.7369719739945,186,True
cvrp-3-rj-100,5857,ortools,1,-1.0,578.5980317779904,-1,False
cvrp-3-rj-100,5857,lkh-3,1,4313.3739,3661.664669875012,182,True
cvrp-3-rj-116,5454,ortools,1,-1.0,501.00707221800985,-1,False
cvrp-3-rj-116,5454,lkh-3,1,4230.6532,2550.1317781700054,167,True
cvrp-3-rj-104,4941,ortools,1,-1.0,408.64003315599984,-1,False
cvrp-3-rj-104,4941,lkh-3,1,3210.5694,1213.9572460670024,155,True
cvrp-3-rj-111,6109,ortools,1,-1.0,632.8434712479939,-1,False
cvrp-3-rj-111,6109,lkh-3,1,4490.465,3532.7109905760008,191,True
cvrp-3-rj-108,5365,ortools,1,-1.0,483.1669814959896,-1,False
cvrp-3-rj-108,5365,lkh-3,1,3734.6594,1050.7459382129891,165,True
cvrp-3-rj-114,6249,ortools,1,-1.0,655.4387497720018,-1,False
cvrp-3-rj-114,6249,lkh-3,1,5347.6075,5007.299096856004,194,True
cvrp-3-rj-95,4821,ortools,1,-1.0,391.520676508997,-1,False
cvrp-3-rj-95,4821,lkh-3,1,1878.5676,847.1008295600041,160,True
cvrp-3-rj-118,6270,ortools,1,-1.0,659.8531388669944,-1,False
cvrp-3-rj-118,6270,lkh-3,1,4459.7711,3234.156622401002,196,True
