instance_name,instance_size,solver,replication,total_distance,total_time,num_vehicles,feasible_solution
cvrp-3-rj-90,5858,ortools,1,-1.0,595.4849794969778,-1,False
cvrp-3-rj-90,5858,lkh-3,1,4329.9268,1592.533361252019,183,True
cvrp-3-rj-102,5185,ortools,1,-1.0,474.55719153402606,-1,False
cvrp-3-rj-102,5185,lkh-3,1,3566.6666,1399.9823926780082,160,True
cvrp-3-rj-109,5462,ortools,1,-1.0,527.9683562570135,-1,False
cvrp-3-rj-109,5462,lkh-3,1,3915.5849,2408.9327061150107,171,True
cvrp-3-rj-105,6557,ortools,1,-1.0,764.3202611839806,-1,False
cvrp-3-rj-105,6557,lkh-3,1,4523.8927,2994.043656820024,204,True
cvrp-3-rj-97,4984,ortools,1,-1.0,436.71336467799847,-1,False
cvrp-3-rj-97,4984,lkh-3,1,3474.6848,1063.479547297,155,True
cvrp-3-rj-96,5886,ortools,1,-1.0,607.7322484150063,-1,False
cvrp-3-rj-96,5886,lkh-3,1,4509.2283,3550.0270818480058,182,True
cvrp-3-rj-112,5768,ortools,1,-1.0,587.6643389079836,-1,False
cvrp-3-rj-112,5768,lkh-3,1,3558.8416,1160.9740933800058,181,True
cvrp-3-rj-110,5087,ortools,1,-1.0,456.92877227198915,-1,False
cvrp-3-rj-110,5087,lkh-3,1,3750.0774,1713.839368860994,157,True
cvrp-3-rj-117,6360,ortools,1,-1.0,713.5900125940097,-1,False
cvrp-3-rj-117,6360,lkh-3,1,4403.0093,2872.328030709992,199,True
cvrp-3-rj-113,6512,ortools,1,-1.0,742.3751961750095,-1,False
cvrp-3-rj-113,6512,lkh-3,1,2760.2906,1130.565121905005,218,True
cvrp-3-rj-92,6085,ortools,1,-1.0,650.4341411500063,-1,False
cvrp-3-rj-92,6085,lkh-3,1,4116.1061,2125.156390275981,184,True
cvrp-3-rj-98,6105,ortools,1,-1.0,651.6302574319998,-1,False
cvrp-3-rj-98,6105,lkh-3,1,2409.4347,1079.1315047520038,207,True
cvrp-3-rj-107,5269,ortools,1,-1.0,489.0009086059872,-1,False
cvrp-3-rj-107,5269,lkh-3,1,2586.6466,882.5551825839793,170,True
cvrp-3-rj-99,6397,ortools,1,-1.0,723.3734731549921,-1,False
cvrp-3-rj-99,6397,lkh-3,1,4633.9679,4060.5283834529982,197,True
cvrp-3-rj-91,5924,ortools,1,-1.0,615.2800572129781,-1,False
cvrp-3-rj-91,5924,lkh-3,1,4631.298,3305.4177759329905,185,True
cvrp-3-rj-100,5857,ortools,1,-1.0,602.1648308430158,-1,False
cvrp-3-rj-100,5857,lkh-3,1,4166.0405,2935.63566068199,180,True
cvrp-3-rj-116,5454,ortools,1,-1.0,528.2446594320063,-1,False
cvrp-3-rj-116,5454,lkh-3,1,3573.4253,1395.6316935380164,169,True
cvrp-3-rj-104,4941,ortools,1,-1.0,429.2354512939928,-1,False
cvrp-3-rj-104,4941,lkh-3,1,1853.4745,932.7508054139907,164,True
cvrp-3-rj-111,6109,ortools,1,-1.0,657.7099055520084,-1,False
cvrp-3-rj-111,6109,lkh-3,1,4240.7101,2822.1578308400058,192,True
cvrp-3-rj-108,5365,ortools,1,-1.0,505.26250406701,-1,False
cvrp-3-rj-108,5365,lkh-3,1,3744.2232,1062.6320019650157,166,True
cvrp-3-rj-114,6249,ortools,1,-1.0,681.6093157659925,-1,False
cvrp-3-rj-114,6249,lkh-3,1,4907.1593,3403.7011255389953,194,True
cvrp-3-rj-95,4821,ortools,1,-1.0,410.2114987249952,-1,False
cvrp-3-rj-95,4821,lkh-3,1,3743.844,1988.073060714989,151,True
cvrp-3-rj-118,6270,ortools,1,-1.0,690.9361387800018,-1,False
cvrp-3-rj-118,6270,lkh-3,1,4410.0506,2798.0790028460033,194,True
cvrp-3-rj-115,6314,ortools,1,-1.0,700.9176975699957,-1,False
cvrp-3-rj-115,6314,lkh-3,1,4935.1292,3709.672232676996,195,True
cvrp-3-rj-119,5610,ortools,1,-1.0,555.8241069400101,-1,False
cvrp-3-rj-119,5610,lkh-3,1,4042.5389,1721.3416207509872,174,True
cvrp-3-rj-103,6538,ortools,1,-1.0,754.163109148998,-1,False
cvrp-3-rj-103,6538,lkh-3,1,5255.5341,4390.044676785998,201,True
cvrp-3-rj-93,6263,ortools,1,-1.0,685.9114775649796,-1,False
cvrp-3-rj-93,6263,lkh-3,1,3697.3937,1463.2723141869938,198,True
cvrp-3-rj-101,4951,ortools,1,-1.0,433.34979751499486,-1,False
cvrp-3-rj-101,4951,lkh-3,1,3224.8775,853.896456197981,153,True
cvrp-3-rj-106,5887,ortools,1,-1.0,612.2051996020018,-1,False
cvrp-3-rj-106,5887,lkh-3,1,2340.1158,1038.476780426019,198,True
cvrp-3-rj-94,5565,ortools,1,-1.0,540.5130212300282,-1,False
cvrp-3-rj-94,5565,lkh-3,1,4076.7855,2380.791055270005,171,True
cvrp-5-rj-101,3544,ortools,1,-1.0,220.62978575300076,-1,False
cvrp-5-rj-101,3544,lkh-3,1,2866.3229,453.86545575998025,115,True
cvrp-5-rj-103,4526,ortools,1,-1.0,358.8899913280038,-1,False
cvrp-5-rj-103,4526,lkh-3,1,5929.7114,1411.0562091330066,141,True
cvrp-5-rj-118,4510,ortools,1,-1.0,353.8408316549903,-1,False
cvrp-5-rj-118,4510,lkh-3,1,6416.2917,1592.9248080859834,141,True
cvrp-5-rj-94,3946,ortools,1,-1.0,273.1906401659944,-1,False
cvrp-5-rj-94,3946,lkh-3,1,3326.9571,632.2914859460143,130,True
cvrp-5-rj-113,4455,ortools,1,-1.0,347.9038020450098,-1,False
cvrp-5-rj-113,4455,lkh-3,1,6679.4164,1404.3178508779965,138,True
cvrp-5-rj-92,4373,ortools,1,-1.0,335.3456421419978,-1,False
cvrp-5-rj-92,4373,lkh-3,1,6064.7539,1376.605512034992,138,True
cvrp-5-rj-105,4346,ortools,1,-1.0,329.0218975410098,-1,False
cvrp-5-rj-105,4346,lkh-3,1,5932.9743,1208.8219027500018,136,True
cvrp-5-rj-111,4240,ortools,1,-1.0,313.58041005500127,-1,False
cvrp-5-rj-111,4240,lkh-3,1,5678.6346,1122.7992105580051,134,True
cvrp-5-rj-102,3685,ortools,1,-1.0,238.3476336199965,-1,False
cvrp-5-rj-102,3685,lkh-3,1,3252.3286,462.3322533419996,121,True
cvrp-5-rj-115,4497,ortools,1,-1.0,354.0510190310015,-1,False
cvrp-5-rj-115,4497,lkh-3,1,3700.858,776.2289393999963,151,True
cvrp-5-rj-90,4076,ortools,1,-1.0,291.3318805139861,-1,False
cvrp-5-rj-90,4076,lkh-3,1,6523.4458,1165.798912029015,126,True
cvrp-5-rj-104,3561,ortools,1,-1.0,224.84265390300425,-1,False
cvrp-5-rj-104,3561,lkh-3,1,4664.4812,657.0437147850171,113,True
cvrp-5-rj-114,4260,ortools,1,-1.0,318.0066649100045,-1,False
cvrp-5-rj-114,4260,lkh-3,1,5566.1227,869.0160954839957,133,True
cvrp-5-rj-96,4041,ortools,1,-1.0,285.8748055449978,-1,False
cvrp-5-rj-96,4041,lkh-3,1,5209.1455,703.9546954020043,128,True
cvrp-5-rj-100,4036,ortools,1,-1.0,284.77514564199373,-1,False
cvrp-5-rj-100,4036,lkh-3,1,5460.6441,987.9188288039877,126,True
cvrp-5-rj-112,3991,ortools,1,-1.0,278.07623962298385,-1,False
cvrp-5-rj-112,3991,lkh-3,1,3192.5102,631.4638799749955,132,True
cvrp-5-rj-107,3695,ortools,1,-1.0,237.49478600500152,-1,False
cvrp-5-rj-107,3695,lkh-3,1,3273.5047,465.10755752099794,119,True
cvrp-5-rj-98,4261,ortools,1,-1.0,320.9680421120138,-1,False
cvrp-5-rj-98,4261,lkh-3,1,5786.084,991.7888528680196,133,True
cvrp-5-rj-93,4192,ortools,1,-1.0,309.4654524899961,-1,False
cvrp-5-rj-93,4192,lkh-3,1,5932.1495,1210.6531299140188,131,True
cvrp-5-rj-109,3895,ortools,1,-1.0,264.36902679200284,-1,False
cvrp-5-rj-109,3895,lkh-3,1,5410.0042,971.5459312399908,122,True
cvrp-5-rj-116,3863,ortools,1,-1.0,262.72604224202223,-1,False
cvrp-5-rj-116,3863,lkh-3,1,3366.017,633.0499566040235,128,True
cvrp-5-rj-108,3703,ortools,1,-1.0,239.30004552798346,-1,False
cvrp-5-rj-108,3703,lkh-3,1,3386.5144,467.3919126210094,120,True
cvrp-5-rj-99,4416,ortools,1,-1.0,339.1090239750047,-1,False
cvrp-5-rj-99,4416,lkh-3,1,6744.9515,1489.990367196995,138,True
cvrp-5-rj-110,3511,ortools,1,-1.0,216.67339832001016,-1,False
cvrp-5-rj-110,3511,lkh-3,1,4794.7875,517.5402093510202,110,True
cvrp-5-rj-117,4417,ortools,1,-1.0,338.44886452300125,-1,False
cvrp-5-rj-117,4417,lkh-3,1,6055.8847,1304.810201454995,140,True
cvrp-5-rj-106,4143,ortools,1,-1.0,301.08155256998725,-1,False
cvrp-5-rj-106,4143,lkh-3,1,5858.9693,1052.7197270939942,131,True
cvrp-5-rj-91,4354,ortools,1,-1.0,332.0351226320199,-1,False
cvrp-5-rj-91,4354,lkh-3,1,4010.2193,710.777168066008,142,True
cvrp-5-rj-95,3403,ortools,1,-1.0,202.98431502300082,-1,False
cvrp-5-rj-95,3403,lkh-3,1,3023.3636,438.6558679919981,111,True
cvrp-5-rj-97,3502,ortools,1,-1.0,213.53661588800605,-1,False
cvrp-5-rj-97,3502,lkh-3,1,2996.7943,448.0838018640061,113,True
cvrp-5-rj-119,4055,ortools,1,-1.0,287.3737554580148,-1,False
cvrp-5-rj-119,4055,lkh-3,1,5596.8055,943.1547519460146,127,True
cvrp-1-df-94,4154,ortools,1,-1.0,297.8985480200208,-1,False
cvrp-1-df-94,4154,lkh-3,1,6175.395,1105.3362332780089,133,True
cvrp-1-df-114,5095,ortools,1,-1.0,446.51743825600715,-1,False
cvrp-1-df-114,5095,lkh-3,1,7183.8913,1218.8565957899846,162,True
cvrp-1-df-91,3781,ortools,1,-1.0,247.8907233440259,-1,False
cvrp-1-df-91,3781,lkh-3,1,6036.6391,983.4825136230211,119,True
cvrp-1-df-111,5029,ortools,1,-1.0,436.00633098598337,-1,False
cvrp-1-df-111,5029,lkh-3,1,8379.3754,2513.5657892409945,158,True
cvrp-1-df-118,4391,ortools,1,-1.0,334.6446666069678,-1,False
cvrp-1-df-118,4391,lkh-3,1,5994.9746,968.294876237982,137,True
cvrp-1-df-112,4354,ortools,1,-1.0,329.6357066820492,-1,False
cvrp-1-df-112,4354,lkh-3,1,7268.7294,988.7029369410011,135,True
cvrp-1-df-92,4117,ortools,1,-1.0,293.38815905398224,-1,False
cvrp-1-df-92,4117,lkh-3,1,6679.0144,1261.9736646760139,129,True
cvrp-1-df-105,3688,ortools,1,-1.0,237.98261899600038,-1,False
cvrp-1-df-105,3688,lkh-3,1,12611.6199,465.08752485195873,124,True
cvrp-1-df-100,5194,ortools,1,-1.0,468.06884937599534,-1,False
cvrp-1-df-100,5194,lkh-3,1,4738.8804,923.7103528370499,171,True
cvrp-1-df-115,4720,ortools,1,-1.0,383.88031294802204,-1,False
cvrp-1-df-115,4720,lkh-3,1,7941.2286,1558.3643564400263,145,True
cvrp-1-df-107,5436,ortools,1,-1.0,509.5692183499923,-1,False
cvrp-1-df-107,5436,lkh-3,1,4909.2011,965.0983244780218,177,True
cvrp-1-df-97,3879,ortools,1,-1.0,261.9975394399953,-1,False
cvrp-1-df-97,3879,lkh-3,1,5679.5601,712.8261247170158,123,True
cvrp-1-df-104,4309,ortools,1,-1.0,320.66449267498683,-1,False
cvrp-1-df-104,4309,lkh-3,1,6539.508,771.955560167029,134,True
cvrp-1-df-116,4116,ortools,1,-1.0,295.03567098802887,-1,False
